"2","Спустя пол года безупречной работы, при варке кофе среднего помола на 2 порции (стандартный рожок в комплекте) доходя до половины порции практически перстает выдавать напиток через родок. Обращение в сервисный цент (г.Киев, ул.Глабочицкая) и последующий звонок на горячую линию официальному дилеру в Украине ничего не дали. Сервисный центр всячески пытался уйти от выполнения ремонта (скорее всего требовалась замена помпы) и сделали его для ""галочки"". Дилер - просто проигнорировали жалобу на сервисный центр. Теперь скорее всего буду ремонтировать за свой счет."
"4","Хорошая кофеварка за такую стоимость."
"5","Чудова кавоварка за свої гроші."
"5","довольно хорошая кофеварка!!!"
"5","Кофеварку купила около месяца назад. Осталась довольна покупкой. Кофе варит хороший. Делает хорошую, стойкую пенку. Не шумная. Единственное что расстроило: в комплекте должно было быть две формочки для кофе, а мне прислали только одну. В остальном отличная кофеварка!"
"3","к моей просьбе восстановить работоспособность кофеварки отнеслись внимательно. Меня вовремя известили о выходе кофеварки из ремонта. При мне тщательно проверили работу кофеварки перед тем, как вернуть её после ремонта. Спасибо тем, кто помог мне приобрести полезный товар и справиться с возникшими проблемами. Спасибо РОЗЕТКА! До новых встреч!"
"5","Сама ничего не мелет, носки не стирает, трубочка в молоко не суется. Но свою единственную функцию выполняет уже 10 лет, раз в полгода промываю просто жесткой тряпкой сеточку. Не все чашки помещаются по вертикали. Чтобы сделать молоко для капуччино, нужно приноровиться, плюс не каждое молоко подходит. Вероятно, по отношению цена/качество - только турка :)"
"5","Подарував мамі на День Народження, задоволена, все чудово і кава смачна"
"3","Парень подарил на НГ данную кофеварку, пользуюсь уже 9 дней и скажу, что ставлю твердую 4+. Немного шумновата, но говорят, что это нормально. Делает вкусное кофе. НО.. Очень мало места для кружечки. То есть, если вы захотите стандартную чашечку кофе, то увы, не получится. У меня помещается только обычная кофейная. И чтобы сделать нормальную порцию кофе, мне приходится в два захода варить кофе. Еще минус ( возможно я что-то не так делаю ), эта штука, которая пенку делает, она не держаться вообще. То есть я думала она влево должна быть, а если захочу, поверну во внутрь. Но нет! Она изначально внутри, а когда поворачиваю она обратно уходит. В общем, кофеварка не плохая! Советую!"
"3","Перший запуск відбувся згідно з інструкцією, наче все чудово. В комплектації був відсутній фільтр на дві чашки кави, просто тому що нема, хоча в інструкції зазначався. Працює відносно тихо, але не в суботній ранок. Не залежно від помолу кави та її кількості, залишки у фільтрі доводиться ""зливати"", а не викидати. Вирішенням є: наливати води рівно на одну чашку, при чому зупиняти варку кави тоді, коли з фільтра ледь крапає. І при цьому треба повністю розбирати фільтр для промивки і вимивати. Після кожної чашки. Це вже напрягає, коли треба зварити дві порції міцної кави. Для ранкової варки кави на одну персону підходить нормально."
"5","Пользуюсь больше года, мне нравится. Кофе получается вкусный ."
