"5","Отличный аппарат за хорошую цену. Простая, как бревно. Кофе варит быстро. За один раз можно сварить около трех больших кружек."
"5","Замечательная кофеварка в своей ценовой категории!Просто и удобно использовать.Рекомендую!!!"
"4","Оптимальный вариант для небольшой семьи."
"5","Отличный товар.:)"
"5","Компактная ,быстрая и красивая кофеварка.Отлично вписалась в мой интерьер на кухне.Сервис отличный,быстро связались со мной ,доставили через день.Все понравилось. Моя распаковка"
"5","Прочитавши всі коментарі, замовила 2 кавоварки: для себе і для подруги. Нам сподобалось. Напій не поганий, якщо кава гарної якості. Я не люблю окріп в чашці, тому температура кави мене цілком влаштовує. Якщо хочеться погарячіше, то, в крайньому випадку, можна на хвилинку в СВЧ ))) 500 мл напою готується хвилин 5-6, а 200 мл, то хвилин 3. Це теж влаштовує. Гарненька )) Не займає багато місця. Підігрів - знову ж таки гарна функція =) Дякую Розетці за швидку доставку."
"4","Неплохо, за такие деньги неплохой аппарат."
"2","До этого экземпляра пользовалась кофеваркой Мулинекс ( из бюджжетной серии). На объем воды 150-200 мл сыпала кофе 2 чайные ложки с горкой небольшой. И выходил отличный кофе вкусный и достаточно крепкий. Приготовление занимало 5-10 минут. В этой же кофеварке вода перетекла за 1-2 минуты ну и соответственно кофе элементарно не успевает приготовиться . В колбу вылилась слегка подкрашенная жидкость по цвету травяного чая и по вкусу просто отвратительная,будто вы моете чашку после кофе. Что бы приготовить более менее нормальный кофе нужно варить чашечку из 4-5 ложек кофе."
"4","А можно отдельно ёмкость купить?)"
"5","За свою цену отличная кофеварка, по сравнению с гейзерной отличия вкуса есть, но для офиса неплохо."
"5","Не смотря на свою малогабаритность на первый взгляд, варит кофе на две большие чашки кофе. Посмотрим,сколько прослужит. Когда читала инструкцию, испугалась,что она не самовыключается. Но оказалось, что если её не выключить, то кофеварка просто остается в режиме подогрева кофе, что очень порадовало, если вдруг будешь чем-то занят уже холодный кофе пить не придётся)) Кофеваркой довольна."
"4","Кофе варит не хуже Максвела за 900 грн)"
"4","А если после приготовления кофе когда заканчивается вода в резервуаре не выключать кофеварку что б диск подогревал кофе в колбе. там ничего не перегорит??"
"5","за малые деньги - отличный товар!"
"5","Все працює кава смачна)"
"4","ОсобенностиНапряжение/частота: 220 В/50 Гц Очень интересно!"
"5","чудова річ за приємну ціну. компактна та гарно працює. живемо вдвох, об""єм заварника цілком влаштовує.не бачу причин нарікати на щось. чудове співвідношення ціна-якість"
"4","Здравствуйте, купил такую кофеварку более полугода назад. Всей семье она очень понравилась, работает прекрасно, варит кофе быстро. Правда сейчас столкнулись с проблемой, треснула чаша (емкость с готовым кофе). Подскажите, можно ли купить отдельно чашу или служба этой кофеварки уже законченна?"
"4","Кофеварка отличная за такую цену, готовит быстро и вкусно. Спасибо за оперативность."
"5","Всё устраивает."
"5","А сколько мл можно сделать кофе за раз?"
"5","Вкусный кофе. Пользуемся 1 месяц, завариваем кофе 2-3 раза на день, никаких нариканий нет."
"5","В коментарях читав що смак не такий як в турці, розхід кави великий. Я спочатку залив воду із кружки , в якій готую каву, в резервуар кавоварки, щоб зрозуміти скільки потрібно води заливати , потім висипав одну мірну ложку свіжо-змеленої кави у кавоварку. Колбу не підставляю під клапан , а чекаю поки вся необхідна вода випарується. Тоді відключаю кавоварку і підставляю колбу і отримую міцну , смачну і гарячу каву . Паперові фільтри таки треба буде докупити тоді відпаде потреба кожного разу мити багаторазовий фільтер."
"5","все влаштовує, претензій до кави не маю"
"5","за такие деньги то что нужно. доволен."
"5","Хорошая кофеварка"
"5","Очень удобная в использовании, а самое главное, если забыл что заваривается кофе, она сама отключается и снизу работает подогрев. Так что в любое время всегда горячий кофе. Это один из плюсов кофеварки."
"5","Чудово. Вибирала на подарунок чоловіку. Нам сподобалось. Кава швидко робиться, підігрів є. Ми задоволені!"
"5","Кофеваркой очень довольна, пользуемся уже месяц. Все нравится. Простота в эксплуатации, много места не занимает. Нравится стеклянная чаша, объема которой для двоих хватает с головой, при этом используем только половину. Ах, да, и время приготовления кофе - быстро, и на вкусе кофе никак не отражается, получается очень вкусный. Детали легко промывать под проточной водой."
"4","доволен, каждый день пользуемся, жене нравится..."
"5","Кофеварка хорошая, в комплекте многоразовый фильтр, мерная ложечка, инструкция и гарантийный талон. Неприятного запаха нет. За такую цену очень хороший вариант"
