"5","Кавоварка дуже сподобалася, кава виходить смачна, миється легко, все дуже зручно. За таку вартість (ще й зі знижкою :)) недоліками це важко назвати, але можна відмітити наступне: чорний колір не дозволяє точно відміряти кількість налитої води при не дуже яскравому освітленні (особливо в сонному стані :)), виходить то багато, то мало, один раз взагалі через край перелив. Термокружка - досить слабенько тримає тепло (але все ж краще, аніж звичайна чашка). Незручна кришка, повністю не відкривається - краще було б ""носик"" подачі води дати окремо від неї, також така конструкція окрім цього, виглядає дещо ненадійною. Наливати воду відносно зручно як із чайника, так і з фільтра."
"5","Покупала данную кофеварку для использования на работе. Пользуюсь данной кофеваркой второй день, пока нареканий нет. Заваривает кофе быстро за 5 минут. Для заваривания кофе на 1 порцию идеальный вариант. Термокружка тепло держит до 2 часов, но мне не принципиально, я все равно переливаю в чашку-термос и беру с собой на работу. Теперь главное, как долго проработает))) ""Розетке"" отдельная благодарность за отличный сервис, в первой половине дня сделала заказ, а к вечеру уже была доставка!!!"
"4","Гарна кавоварка за свою ціну"
"5","Цена-качество соответсвует. кофеварка хорошая. Претензий в работе пока нет."
"5","Крута кавоварка!!!!!"
"4","для этой цены годная кофеварка.можно чай заваривать."
"5","Скажу откровенно что за такие деньги нормальное качество. Я люблю кофе заварной и не люблю с гущей. Кофе получается отличный и насыщенный вкус. Я довольна."
"5","Пока все радует. Посмотрим на качество. Скину еще видео ,как он в работе."
"5","Гарний варіант для швидкого приготування кави."
"5","Цена качество. Удобно, быстро - засыпал кофе, налил воды, поставил чашку. Кофе сразу начнет капать, минута и можно пить гарячий напиток. Но нужна высокая чашка, как термокружка в комплекте, иначе брызги по всему столу. Доволен покупкой."
"4","Мне понравилась. Кофе в термокружке долго остается горячим. Запаха пластмассы не обнаружила."
"4","Недорогая и в то же время качественная кофеварка. Для 1-2 человек в офис самое то. Единственное нарекание, резервуар для воды расположен рядом с крышкой из-за чего воду не особо удобно наливать, также не видно шкалу максимального количества воды. Имеется очень стильная термокружка в комплекте."
"5","Среди недорогих кофеварок понравился дизайн и комплектация у mg347. В отличие от тех что мне попадались у нее есть съемная термокружка. Может это неудобно, если вы ищете кофеварку для большого офиса, но если для 1-2 человек то это оно. Установил, засыпал, включил, забрал кружку. И кофе долго остается горячим. Ситечко-фильтр многоразовое, поэтому нет необходимости тратиться на него еще. Я думаю, что вкус кофе еще зависит от сорта кофе, я обычно использую Лаваццу либо австрийский, поэтому вкусом доволен"
"5","Недорогая капельная кофеварка. Я от этого отталкивался, когда выбирал для себя такую штуку. Кофе приходится готовить нечасто, поэтому крутую на каждый день смысла брать не было. Капельная этой фирмы полностью устраивает.Кофе нужно засыпать уже заранее молотый. Режимов особо нет, простая как 5 копеек, но в то же время делает кофе достаточно вкусный, запаха пластмассы не обнаружил"
