"4","Купил данную модель кофеварки шесть месяцев назад,за время работы нареканий не выявлено ,пенка густая,очень классно смотрится на кухне,мне еще повезло шла кофемолка в подарок:)"
"1","купил кофемашину проработала она 4 месяца затем потекла вода напором с капучинатора...и эта проблема смотрю у многих..ужасная модель..кто то уже сдавал в ремонт?"
"4","Красивая и стильная кофеварка,готовит вкусный кофе:),пока претензий к ней нет"
"4","Термометр показує погоду) В цілому гарний апарат."
"2","Надеюсь, мой комментарий убережёт вас от покупки сего устройства. Не ведитесь на его цену и необычный дизайн. В моём случае ещё кофемолка шла в подарок (этого же производителя). На этом преимущества заканчиваются. Кофеварка куплена почти полгода назад и почти каждый день эксплуатировалась. При распаковке в глаза бросились немного неаккуратная сборка устройства производителем, дешёвые материалы, но это некритично. Всё работало как часы: циферблат показывал растущую температуру при включении, переключение между приготовлением кофе и взбиванием молока происходило корректно. После первого же дня использования керамическая чашка поцарапала поддон, так как немного смещалась за счёт вибраций. Дополнительно отмечу, что датчик (поплавок) воды в поддоне со своими функциями справляется; кофе засыпать в рожок удобно с помощью ложки. идущей в комплекте; капучинатор сравнительно быстро нагревается и выдаёт отличный пар (из минусов - его приходится очищать от накипи); в кофемашине стоит итальянская помпа (так заявлено производителем), которая не дала ни разу сбоя; лоток с водой выдвигать/задвигать неудобно - надо прикладывать усилие; под кофеваркой скапливается влага (возможно неправильно эксплуатировали); надписи на кнопках легко стираются; кофеварка самостоятельно отключается через некоторое время. Резюмируя, обычная, недорогая кофеварка, которая полностью справляется с возложенными функциями. Справлялась. Вначале было замечено, что переключение между капучинатором и приготовлением кофе происходит не сразу, затем уже приходилось по несколько раз нажимать кнопки, чтобы добиться результата. В конце концов кипяток выливался только из капучинатора, что сделало невозможным готовить кофе. Судя по другим отзывам, это не единичная проблема, а болезнь всего модельного ряда."
"4","Очень хорошая кофемашина в своем ценовом диапазоне."
"5","Чудова кавоварка, як за такі кошти. Користуємось 2 місяці, повністю задоволені. Кава виходить з високою, густою пінкою (вона звичайно залежить і від якості кави також), капучінатор прекрасно збиває молоко. На початку користування сильно вібрувала, але зараз майже перестала. Єдине, що довелося чекати заміни, перший раз прийшла з тріщинкою в колбі для води."
"5","Доставили быстро, на следующий день после заказа. Кофеварка оправдала все ожидания. По акции идёт кофемолка, как оказалось очень нужная вещь, весь процесс приготовления кофе у тебя в руках, что не может не радовать!"
"5","Попробовал первую чашку - ни капельки не хуже чем на дорогой кофемашине в кафе...и пена и вкус кофе на высоте...."
"5","Все супер, работает на ура! Варили эспрессо,пенка плотная.все работает, молоко взбивать отлично. Розетке респект за подарок и качественное обслуживание!!!!"
"3","Сегодня преобрели данную машинку. Насмотревшись на ее прородителя VT-1513 был впечатлен обзорами и отзывами как она варит кофе, позвонив менеджеру, тот убедил что это та же машинка но в новом дизайне, решили взять данную модель. По итогу, пока не сильно довольны. Толи нужно подобрать кофе, толи попалась бракованная, кофе варит вроде не плохо но пенки почти нет((( хотя густая и очень большая пенка это то что и подкупило в модели VT-1513. В этой же пенка выходит максимум 3-5мм, дома был молотый кофе подумали может помол не подходяший, вышел в ближайшую кофейню, купил у них молотый на их кофемолке кофе с которого варят они - эфект тот-же 3-5 мм пенки. Пока не решил что делать, ехать менять машинку или еще поэксперементировать с подбором кофе. Но в отзывах и обзорах на VT-1513 никто ничего про кофе не говорит, а пека у всех под 3см. Может кто подскажет в какую сторону думать?"
"5","давно приглядывался к кофеваркам- но увидев эту решился приобрести- да еще и акция -любовь с первого взгляда и оправданные ожидания на 100 процентов. Своих денег стоит!!!!!!!!!"
"5","Придбали без особливого захоплення, спокусившись на акцію. Але потім приємно були здивовані нашим враженням від апарата. В інтер'єрі кавоварка сприймається дуже позитивно, в обслуговуванні дуже проста. Кава получається з хорошою пінкою. Приготувати капучино можна теж дуже швидко."
