productSellerID,productCategoryID,productID,productVendorID,productMerchantID,productPosition,productLocation,stars,numberReviews,productName,productPrice,productCondition
5,80164,197689,152,2,0,Catalog,90,80,Кавоварка GORENJE TCM 300 W,24.63,new
5,80164,301161,3096,2,1,Catalog,90,66,Крапельна кавоварка MAGIO MG-344,15.67,new
5,80164,84696,206,2,2,Catalog,100,1,Кавомашина DELONGHI ECAM 23.210 B +набір стаканів DELONGHI,455.37,new
5,80164,3142655,206,2,3,Catalog,90,20,Кавомашина DELONGHI ETAM 29.660.SB + набір стаканів DELONGHI,721.02,new
5,80164,14458946,182,2,4,Catalog,100,2,Кавомашина SAECO Incanto HD8912/09,569.22,new
5,80164,8607775,206,2,5,Catalog,100,4,Кавоварка еспресо DELONGHI ECP 35.31 BK Silver,189.72,new
5,80164,12284217,216,2,6,Catalog,80,13,Кавоварка еспресо VITEK VT-1525 BK,98.48,new
5,80164,2483507,206,2,7,Catalog,80,11,Кавоварка DELONGHI EC 153 B,106.22,new
5,80164,6284565,206,2,8,Catalog,100,6,Кавомашина DELONGHI ECAM 23.464 S+набір стаканів DELONGHI,683.07,new
5,80164,12238465,182,2,9,Catalog,100,4,Кавомашина SAECO Incanto HD8916/09,629.94,new
5,80164,1542977,23,2,10,Catalog,100,11,Кавоварка PHILIPS Daily Collection HD7457/20,45.5,new
5,80164,303286,216,2,11,Catalog,90,11,Кавоварка VITEK VT-1514 BK,168.31,new
5,80164,39965,206,2,12,Catalog,100,5,Кавомашина DELONGHI ESAM 3200 S +набір стаканів DELONGHI,379.47,new
5,80164,512160,206,2,13,Catalog,100,3,Кавомашина DELONGHI ECAM 23.460 B + Кава KIMBO,622.35,new
5,80164,80715,206,2,14,Catalog,90,18,Кавомашина DELONGHI ESAM 4000 B+набір стаканів DELONGHI,379.47,new
5,80164,193245,206,2,15,Catalog,90,15,Кавомашина DELONGHI ESAM 4200 S+набір стаканів DELONGHI,360.49,new
5,80164,4636335,23,2,16,Catalog,100,4,Кавомашина PHILIPS 2000 series HD8649/51,341.52,new
